Año,Tipo_de_delito,Modalidad,Sexo,Rango_de_edad,Mes,Numero_registros
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,No especificado,Marzo,23
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),Marzo,42
2023,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Marzo,1
2023,Secuestro,Secuestro exprés,Hombre,Adultos (18 y más),Marzo,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Adultos (18 y más),Marzo,17
2023,Tráfico de menores,Tráfico de menores,Hombre,No especificado,Marzo,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,No especificado,Marzo,30
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Marzo,3
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Menores de edad (0-17),Abril,31
2023,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Abril,1
2023,Secuestro,Secuestro exprés,Mujer,Adultos (18 y más),Abril,1
2023,Rapto,Rapto,Mujer,Adultos (18 y más),Abril,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Adultos (18 y más),Abril,12
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,No especificado,Abril,13
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),Abril,38
2023,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Abril,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Adultos (18 y más),Abril,10
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,No especificado,Abril,22
